Name,Age,Hometown,Job,Outcome
Becca Kufrin,27,"Prior Lake, Minnesota",Publicist,Winner
Lauren Burnham,25,"Virginia Beach, Virginia",Technology Salesperson,Runner-up
Kendall Long,26,"Santa Clarita, California",Creative Director,Week 9
Tia Booth,26,"Weiner, Arkansas",Physical Therapist,Week 8
Bekah Martinez,22,"Clovis, California",Nanny,Week 7
Seinne Fleming,27,"Long Beach, California",Commercial Real Estate Agent,Week 7
Jacqueline Trumbull,26,"Morgantown, West Virginia",Research Coordinator,Week 7
Chelsea Roy,29,"South Portland, Maine",Real Estate Executive Assistant,Week 6
Jenna Cooper,28,"Upland, Indiana",Social Media Manager,Week 6
Krystal Nielson,29,"Missoula, Montana",Fitness Coach,Week 6
Ashley Luebke,25,"West Palm Beach, Florida",Real Estate Agent,Week 5
Maquel Cooper,23,"American Fork, Utah",Photographer,Week 5
Marikh Mathias,27,"Salt Lake City, Utah",Restaurant Owner,Week 5
Brittany Taylor,30,"Belton, South Carolina",Tech Recruiter,Week 4
Caroline Lunny,26,"Holliston, Massachusetts",Realtor,Week 4
Bibiana Julian,30,"Miami, Florida",Executive Assistant,Week 3
Annaliese Puccini,32,"San Mateo, California",Event Designer,Week 3
Lauren Schleyer,31,"Dallas, Texas",Social Media Manager,Week 3
Jennifer Delaney,25,"Northbrook, Illinois",Graphic Designer,Week 2
Lauren Griffin,26,"Indianapolis, Indiana",Executive Recruiter,Week 2
Valerie Biles,26,"Nashville, Tennessee",Server,Week 2
Alison Harrington,27,"Lawton, Oklahoma",Personal Stylist,Week 1
Amber Wilkerson,29,"Denver, Colorado",Business Owner,Week 1
Brianna Amaranthus,25,"Grants Pass, Oregon",Sports Reporter,Week 1
Brittane Johnson,27,"San Diego, California",Marketing Manager,Week 1
Jessica Carroll,26,"Calgary, Alberta",Television Host,Week 1
Lauren Jarreau,33,"New Roads, Louisiana",Recent Master's Graduate,Week 1
DNysha Norris,30,"Anderson, South Carolina",Orthopedic Nurse,Week 1
Olivia Goethals,23,"Geneseo, Illinois",Marketing Associate,Week 1
