Name,Age,Hometown,Occupation,Outcome
Nikki Ferrell,26,"Kearney, Missouri",Pediatric Nurse,Winner
Clare Crawley,32,"Sacramento, California",Hairstylist,Runner-up
Andi Dorfman,26,"Buckhead, Georgia",Assistant District Attorney,Week 9
Renee Oteri,32,"Martha's Vineyard, Massachusetts",Real Estate Agent,Week 8
Chelsie Webster,24,"Lexington, Ohio",Science Educator,Week 7
Sharleen Joynt,29,"Ottawa, Ontario",Opera Singer,Week 7
Katherine Hurd,29,"Iowa City, Iowa",Medical Sales Rep,Week 6
Cassandra Ferguson,22,"Rochester Hills, Michigan",Former NBA Dancer,Week 6
Allison Restko,26,"Orland Park, Illinois",Nanny,Week 5
Danielle Ronco,25,"Litchfield, Illinois",Psychiatric Nurse,Week 5
Kelly Travis,27,"Conyers, Georgia",Dog Lover,Week 5
Elise Mosca,27,"Forty Fort, Pennsylvania",First Grade Teacher,Week 4
Lauren Solomon,26,"Clinton, Michigan",Music Composer,Week 4
Christy Hansen,24,"Aurora, Illinois",Marketing Manager,Week 3
Lucinda Aragon,25,"Santa Barbara, California",Free Spirit,Week 3
Amy Long,27,"Clermont, Florida",Local News Reporter,Week 2
Chantel Forrest,27,"Miami, Florida",Account Manager,Week 2
Victoria Lima,24,"Porto Alegre, Brazil",Legal Assistant,Week 2
Alexis Morgado,24,"Tampa, Florida",Communications Director,Week 1
Amy Jokinen,31,"Apopka, Florida",Massage Therapist,Week 1
Ashley Poe,25,"Roanoke, Texas",Grade School Teacher,Week 1
Christine Llano,23,"Miami, Florida",Police Support Specialist,Week 1
Kylie Lewis,23,"Rockford, Illinois",Interior Designer,Week 1
Lacy Faddoul,25,"Antelope Acres, California",Nursing Home Owner,Week 1
Lauren Higginson,25,"Edmond, Oklahoma",Mineral Coordinator,Week 1
Maggie Gantt,25,"Wagener, South Carolina",Personal Banker,Week 1
Valerie Eredia,26,"Sutter, California",Personal Trainer,Week 1
