name,age,hometown,job,outcome,season
Amanda Marsh,23,"Chanute, Kansas",Event Planner,Winner,./season_01.csv
Trista Rehn,29,"St. Louis, Missouri",Miami Heat Dancer,Runner-up,./season_01.csv
Shannon Oliver,24,"Dallas, Texas",Financial Management Consultant,Week 5,./season_01.csv
Kimberly Karels,24,"Tempe, Arizona",Nanny,Week 4,./season_01.csv
Cathy Grimes,22,"Terre Haute, Indiana",Graduate Student,Week 3,./season_01.csv
Christina Stencil,28,"Bonita, California",Attorney,Week 3,./season_01.csv
LaNease Adams,23,"Playa Del Rey, California",Actress,Week 3,./season_01.csv
Rhonda Rittenhouse,28,"Woodward, Oklahoma",Commercial Real Estate Agent,Week 3,./season_01.csv
Alexa Jurgielewicz,27,"Beverly Hills, California",Special Ed. Teacher,Week 2,./season_01.csv
Amy Anzel,28,"Yonkers, New York",Production Coordinator,Week 2,./season_01.csv
Angela Lowery,25,"Avondale, Arizona",Hooters Waitress,Week 2,./season_01.csv
Angelique Madrid,27,"Burbank, California",Actress,Week 2,./season_01.csv
Katie Sapienza,23,"Malden, Massachusetts",Power Tool Sales Rep.,Week 2,./season_01.csv
Melissa Reese,25,"Tempe, Arizona",Photographer,Week 2,./season_01.csv
Tina Chen,27,"Plano, Texas",Graduate Student,Week 2,./season_01.csv
Amber Johnson,29,"Los Angeles, California",Business Development Director,Week 1,./season_01.csv
Daniela Ferdico,30,"Seattle, Washington",Neuropsychologist,Week 1,./season_01.csv
Denise Kellaher,30,"Honolulu, Hawaii",Doctor,Week 1,./season_01.csv
Jackie Hucko,22,"Pittsburgh, Pennsylvania",Bar Manager,Week 1,./season_01.csv
Jill Gosser,31,"Chicago, Illinois",Retail Manager,Week 1,./season_01.csv
Kristina Jenkins,27,"Chelsea, New York",Advertising Executive,Week 1,./season_01.csv
Lisa Gold,29,"Dallas, Texas",Attorney,Week 1,./season_01.csv
Paula Oliveira,24,"Swansea, Massachusetts",Insurance Representative,Week 1,./season_01.csv
Rachel Lanzilotto,29,"Eastchester, New York",6th Grade Teacher,Week 1,./season_01.csv
Wendi Plotnik,26,"Dallas, Texas",Technology Specialist,Week 1,./season_01.csv
Helene Eksterowicz,27,"Gloucester, New Jersey",School Psychologist,Winner,./season_02.csv
Brooke Smith,22,"Albertville, Alabama",College Student,Runner-up,./season_02.csv
Gwen Gioia,31,"Philadelphia, Pennsylvania",Executive Recruiter,Week 6,./season_02.csv
Angela Vaught,27,"Kansas City, Missouri",Registered Nurse,Week 5,./season_02.csv
Hayley Crittenden,28,"Lake Oswego, Oregon",Retail Manager,Week 4,./season_02.csv
Heather Cranford,30,"Dallas, Texas",Flight Attendant,Week 4,./season_02.csv
Christi Weible,23,"Boise, Idaho",Assistant Financial Advisor,Week 3,./season_02.csv
Heather Campion,24,"Walnut Creek, California",Marriage Therapy Trainee,Week 3,./season_02.csv
Kyla Dickerson,22,"Midvale, Utah",Airline Supervisor,Week 3,./season_02.csv
Shannon Fries,26,"North Lindenhurst, New York",Graphic Artist,Week 3,./season_02.csv
Dana Norris,24,"Beverly Hills, California",Radio Sales,Week 2,./season_02.csv
Erin Lulevitch,25,"West Chester, Pennsylvania",Publications Quality Control,Week 2,./season_02.csv
Suzanne Freeman,33,"Redondo Beach, California",Flight Attendant,Week 2,./season_02.csv
Frances Dinglasan,30,"San Francisco, California",Strategic Planning Analyst,Week 2,./season_02.csv
Anindita Dutta,27,"Brooklyn, New York",Attorney,Week 2,./season_02.csv
Amber West,26,"Chapel Hill, North Carolina",Psychologist,Week 1,./season_02.csv
Camille Langfield,29,"Sherman Oaks, California",Actress,Week 1,./season_02.csv
Cari,29,"Granite City, Illinois",3rd Grade Teacher,Week 1,./season_02.csv
Christy,24,"Avondale, Arizona",Radiological Technologist,Week 1,./season_02.csv
Erin A.,24,"Houston, Texas",Interior Designer,Week 1,./season_02.csv
Fatima Rivas,22,"Long Beach, California",College Student,Week 1,./season_02.csv
Liangy Fernandez,30,"Coral Gables, Florida",Paralegal,Week 1,./season_02.csv
Lori Todd,26,"Dallas, Texas",Former NBA Cheerleader,Week 1,./season_02.csv
Merrilee Donohue,28,"Forked River, New Jersey",1st Grade Teacher,Week 1,./season_02.csv
Suzi Reid,28,"Richmond, Virginia",Communications Specialist,Week 1,./season_02.csv
Jessica Bowlin,22,"Huntington Beach, California",Student,Winner,./season_05.csv
Tara Huckeby,23,"Shawnee, Oklahoma",General Contractor,Week 7,./season_05.csv
Mandy Jaye Jeffreys,26,"Midland, Texas",Architect Designer,Week 6,./season_05.csv
Trish Schneider,28,"Atlanta, Georgia",Model,Week 5,./season_05.csv
Karen Lindsay,28,"Pleasant Grove, Utah",Pharmaceutical Salesperson,Week 4,./season_05.csv
Suzie Williams,23,"Ann Arbor, Michigan",Prosthetic Technician,Week 4,./season_05.csv
Jenny De Schiralli,26,"Carrboro, North Carolina",Swim Instructor,Week 3,./season_05.csv
Jessica Holcomb,25,"Pearsall, Texas",Attorney,Week 3,./season_05.csv
Julie Durda,24,"Sacramento, California",Professional Cheerleader,Week 3,./season_05.csv
Katie Gehart,22,"Scottsdale, Arizona",LASIK Eye & Skin Center Manager,Week 3,./season_05.csv
Amber LaRoux,27,"Sunriver, Oregon",Consultant,Week 2,./season_05.csv
Anne-Catherine Labbé,27,"Quebec City, Quebec",Model,Week 2,./season_05.csv
Celeste Creel,24,"Ithaca, New York",Executive Assistant,Week 2,./season_05.csv
Debbie Merkett,27,"Pinetops, North Carolina",Massage Therapist,Week 2,./season_05.csv
Jean-Marie Callahan,26,"Gibson, North Carolina",Hairstylist,Week 2,./season_05.csv
Jenny Matthews,24,"Canton, Michigan",Retail Manager,Week 2,./season_05.csv
Kristy Romero,25,"Dearborn, Michigan",Student,Week 2,./season_05.csv
Mandy Clemens,25,"San Diego, California",Professional Soccer Player,Week 2,./season_05.csv
DeShaun Warner,25,"Phillipsburg, New Jersey",Account Manager,Week 1,./season_05.csv
Dolores Farburg,26,"Madison, New Jersey",Account Manager,Week 1,./season_05.csv
Francine Jones,25,"Houston, Texas",Retail Manager,Week 1,./season_05.csv
Holly Reeder,26,"Tulsa, Oklahoma",Bank Representative,Week 1,./season_05.csv
Jessica Kyron,21,"Cincinnati, Ohio",Student,Week 1,./season_05.csv
Kristin Clearwater,25,"Sausalito, California",Singer,Week 1,./season_05.csv
Rachel Clementi,26,"Buffalo, New York",Fashion PR Manager,Week 1,./season_05.csv
Jennifer Wilson,24,"Pembroke Pines, Florida",Teacher,Winner,./season_09.csv
Sadie Murray,23,"Carlsbad, California",Publicist,Week 7,./season_09.csv
Lisa Blank,25,"Portland, Oregon",Marketing manager,Week 6,./season_09.csv
Agnese Polliza,24,"Venice, Italy",Student,Week 5,./season_09.csv
Desiree Valentin,22,"Salt Lake City, Utah",Realtor,Week 4,./season_09.csv
Jeanette Pawula,23,"Bloomingdale, Illinois",Teacher,Week 4,./season_09.csv
Erica Rose,23,"Houston, Texas",Attorney,Week 3,./season_09.csv
Gina Clark,28,"Dallas, Texas",Ultrasound technician,Week 3,./season_09.csv
Jami Matzke,27,"Galveston, Texas",Event planner,Week 3,./season_09.csv
Ellen DeMaio,30,"New Haven, Connecticut",Realtor,Week 2,./season_09.csv
Kimberly Jackson,27,"Newport Beach, California",Interior designer,Week 2,./season_09.csv
Sarah Schnare,30,"Nelson, British Columbia",Journalist,Week 2,./season_09.csv
April Jacobs,23,"Hyde Park, Chicago, Illinois",Model,Week 1,./season_09.csv
Andrea Shirley,28,"Cincinnati, Ohio",Hotel concierge,Week 1,./season_09.csv
Britt Keeder,28,"Columbus, Ohio",Beer chemist,Week 1,./season_09.csv
Carissa Ilburg,25,"Cattaraugus, New York",Attorney,Week 1,./season_09.csv
Claudia Gismondi,22,"Boca Raton, Florida",Restaurateur,Week 1,./season_09.csv
Cosetta Blanca,,Italy,Dancer,Week 1,./season_09.csv
Elyse Hammer,27,"Meadow Vista, California",Physician,Week 1,./season_09.csv
Heather Sneed,34,"Aliquippa, Pennsylvania",Registered nurse,Week 1,./season_09.csv
Jessica Horner,25,"Charlotte, North Carolina",Assistant buyer,Week 1,./season_09.csv
Laura Morgan,29,"Spring Valley, California",Dolphin trainer,Week 1,./season_09.csv
Meryl Barr,27,"Biloxi, Mississippi",Attorney,Week 1,./season_09.csv
Renée Snell,30,"Baltimore, Maryland",Broadcast marketer,Week 1,./season_09.csv
Rita Ghazal,29,"Richmond, Virginia",Policy advisor,Week 1,./season_09.csv
Rosella Fratto,27,"Homer Glen, Illinois",Make-up artist,Week 1,./season_09.csv
Tara Durr,24,"St. Augustine, Florida",Realtor,Week 1,./season_09.csv
Tessa Horst,26,"San Francisco, California",Social Worker,Winner,./season_10.csv
Bevin Nicole Powers,28,"Palo Alto, California",Assistant,Week 8,./season_10.csv
Danielle Imwalle,25,"Bethel, Connecticut",Graphic Designer,Week 7,./season_10.csv
Amber Alchalabi,23,"Sugar Land, Texas",Teacher,Week 6,./season_10.csv
Stephanie Wilhite,23,"Overland Park, Kansas",Project Manager,Week 5,./season_10.csv
Tina Wu,26,"Lenox Hill, New York",Medical student,Week 5,./season_10.csv
Kate Brockhouse,24,"Ravenel, South Carolina",Boutique owner,Week 4,./season_10.csv
Nicole Clary,26,"Charleston, South Carolina",Sales Manager,Week 4,./season_10.csv
Stephanie Tipper,27,"Folly Beach, South Carolina",Organ donor coordinator,Week 4,./season_10.csv
Amanda Hackney,26,"Dallas, Texas",Financial analyst,Week 3,./season_10.csv
Erin Parker,24,"Logansport, Louisiana",Financial analyst,Week 3,./season_10.csv
Peyton Wright,24,"Kingsport, Tennessee",Sorority recruiter,Week 3,./season_10.csv
Alexis Young,26,"Southlake, Texas",Attorney,Week 2,./season_10.csv
Susan Anderson,23,"The Woodlands, Texas",Boutique manager,Week 2,./season_10.csv
Tiffany Warren,28,"Boston, Massachusetts",Medical equipment sales rep,Week 2,./season_10.csv
Blakeney Rowe,29,"Birmingham, Alabama",Radio sales,Week 1,./season_10.csv
Candice DeCost,23,"Hilton Head Island, South Carolina",Waitress,Week 1,./season_10.csv
Catherine Warren,23,"Lake Forest, Illinois",Former Miss Illinois,Week 1,./season_10.csv
Danielle Vallis,26,"The Bronx, New York",Attorney,Week 1,./season_10.csv
Jacqueline Topelli,23,"Minneapolis, Minnesota",Executive coordinator,Week 1,./season_10.csv
Jeanette Alvarez,27,"Tampa, Florida",Health care manager,Week 1,./season_10.csv
Jessica Devallo,32,"New York, New York",Hedge fund analyst,Week 1,./season_10.csv
Linda Malek,33,"Cuyahoga Falls, Ohio",Attorney,Week 1,./season_10.csv
Lindsay Smith,22,"Lawrence, Kansas",Student,Week 1,./season_10.csv
Tiffany Forester,27,"St. Louis Park, Minnesota",Real estate sales/development,Week 1,./season_10.csv
DeAnna Pappas,25,"Newnan, Georgia",Realtor,Runner-Up,./season_11.csv
Jenni Croft,27,"Wichita, Kansas",Phoenix Suns Cheerleader,Runner-Up,./season_11.csv
Bettina Bell,27,"Washington, D.C.",Realtor,Week 7,./season_11.csv
Sheena Stewart,23,"Walnut Creek, California",Internet marketing executive,Week 6,./season_11.csv
Hillary Reisinger,27,"Philadelphia, Pennsylvania",Registered nurse,Week 5,./season_11.csv
Kristy Katzmann,29,"Gurnee, Illinois",Acupuncturist,Week 5,./season_11.csv
McCarten Delaney,26,"Lemon Grove, California",Account manager,Week 4,./season_11.csv
Estefania Leon,26,"Atlanta, Georgia",Executive assistant,Week 4,./season_11.csv
Jade Beazley,24,"Nashville, Tennessee",Boutique sales worker,Week 4,./season_11.csv
