Name,Age,Hometown,Occupation,Outcome
Jennifer Wilson,24,"Pembroke Pines, Florida",Teacher,Winner
Sadie Murray,23,"Carlsbad, California",Publicist,Week 7
Lisa Blank,25,"Portland, Oregon",Marketing manager,Week 6
Agnese Polliza,24,"Venice, Italy",Student,Week 5
Desiree Valentin,22,"Salt Lake City, Utah",Realtor,Week 4
Jeanette Pawula,23,"Bloomingdale, Illinois",Teacher,
Erica Rose,23,"Houston, Texas",Attorney,Week 3
Gina Clark,28,"Dallas, Texas",Ultrasound technician,
Jami Matzke,27,"Galveston, Texas",Event planner,
Ellen DeMaio,30,"New Haven, Connecticut",Realtor,Week 2
"Kimberly ""Kim"" Jackson",27,"Newport Beach, California",Interior designer,
Sarah Schnare,30,"Nelson, British Columbia",Journalist,
April Jacobs,23,"Hyde Park, Chicago, Illinois",Model,Week 1
Andrea Shirley,28,"Cincinnati, Ohio",Hotel concierge,
Britt Keeder,28,"Columbus, Ohio",Beer chemist,
Carissa Ilburg,25,"Cattaraugus, New York",Attorney,
Claudia Gismondi,22,"Boca Raton, Florida",Restaurateur,
Cosetta Blanca,,Italy,Dancer,
Elyse Hammer,27,"Meadow Vista, California",Physician,
Heather Sneed,34,"Aliquippa, Pennsylvania",Registered nurse,
Jessica Horner,25,"Charlotte, North Carolina",Assistant buyer,
Laura Morgan,29,"Spring Valley, California",Dolphin trainer,
"Meryl ""Meri"" Barr",27,"Biloxi, Mississippi",Attorney,
Renée Snell,30,"Baltimore, Maryland",Broadcast marketer,
Rita Ghazal,29,"Richmond, Virginia",Policy advisor,
Rosella Fratto,27,"Homer Glen, Illinois",Make-up artist,
Tara Durr,24,"St. Augustine, Florida",Realtor,
