Name,Age,Hometown,Occupation,Outc
Kaitlyn Biggar,27,"Kingston, Ontario",Travel Nurse,Winner
Gabriella Elnicki,25,"Pittsford, Vermont",Senior Account Executive,Runner-Up
Ariel Frenkel,28,"Manhattan, New York",Marketing Executive,Week 9
Charity Lawson,26,"Columbus, Georgia",Child and Family Therapist,Week 8
Katherine Izzo,26,"Tampa, Florida",Registered Nurse,Week 7
Brooklyn Willie,25,"Mineola, Texas",Rodeo Racer,Week 7
Greer Blitzer,24,"Bellaire, Texas",Medical Sales Representative,Week 7
Alyssa Jacobs,26,"Smyrna, Georgia",Healthcare Strategist,Week 6
Jessica Girod,23,"Winter Springs, Florida",E-Commerce Coordinator,Week 6
Kylee Russell,25,"Charlotte, North Carolina",Postpartum Nurse,Week 5
Mercedes Northup,24,"Bloomfield, Iowa",Nonprofit Case Manager,Week 5
Davia Bunch,25,"Roebuck, South Carolina",Marketing Manager,Week 4
Genevie Mayo,26,"Joppa, Maryland",Neonatal Nurse,Week 4
Anastasia Keramidas,30,"Baltimore, Maryland",Content Marketing Manager,Week 4
Christina Mandrell,26,"Hendersonville, Tennessee",Content Creator,Week 3
Brianna Thorbourne,24,"Jersey City, New Jersey",Entrepreneur,Week 3
Bailey Brown,27,"Brentwood, Tennessee",Executive Recruiter,Week 3
Catherine Wong,26,"Bushwick, New York",Professional Dancer,Week 2
Kimberly Gutierrez,30,"Stroudsburg, Pennsylvania",Hospitality Manager,Week 2
Victoria Jameson,30,"Keller, Texas",Professional Makeup Artist,Week 2
Becca Serrano,25,"Burbank, California",Nursing Student,Week 1
Cara Ammon,27,"McCandless, Pennsylvania",Corporate Recruiter,Week 1
Holland Parsons,24,"Boca Raton, Florida",Insurance Marketer,Week 1
Lekha Ravi,29,"Miami, Florida",Financial Advisor,Week 1
Olivia Lewis,24,"Churchville, New York",Patient Care Technician,Week 1
Olivia Miller,25,"Delphos, Ohio",Stylist,Week 1
Sonia Sharma,29,"Jericho, New York",Project Manager,Week 1
Vanessa Dinh,23,"Farmington Hills, Michigan",Restaurant Marketer,Week 1
Viktoria Eichner,29,"Vienna, Austria",Nanny,Week 1
Madison Johnson,26,"Fargo, North Dakota",Business Owner,Week 1
